,Grand Prix,Driver,Car,Time,year,Code
292,Italy,Mario  Andretti ,Lotus Ford,1:39.100,1977,AND
293,USA East,Ronnie  Peterson ,Tyrrell Ford,1:51.854,1977,PET
294,Canada,Mario  Andretti ,Lotus Ford,1:13.299,1977,AND
295,Japan,Jody  Scheckter ,Wolf Ford,1:14.300,1977,SCH
296,Argentina,Gilles  Villeneuve ,Ferrari,1:49.760,1978,VIL
297,Brazil,Carlos  Reutemann ,Ferrari,1:43.070,1978,REU
298,South Africa,Mario  Andretti ,Lotus Ford,1:17.090,1978,AND
299,USA West,Alan Jones ,Williams Ford,1:22.215,1978,JON
300,Monaco,Niki  Lauda ,Brabham Alfa Romeo,1:28.650,1978,LAU
301,Belgium,Ronnie  Peterson ,Lotus Ford,1:23.130,1978,PET
302,Spain,Mario  Andretti ,Lotus Ford,1:20.060,1978,AND
303,Sweden,Niki  Lauda ,Brabham Alfa Romeo,1:24.836,1978,LAU
304,France,Carlos  Reutemann ,Ferrari,1:48.560,1978,REU
305,Great Britain,Niki  Lauda ,Brabham Alfa Romeo,1:18.600,1978,LAU
306,Germany,Ronnie  Peterson ,Lotus Ford,1:55.620,1978,PET
307,Austria,Ronnie  Peterson ,Lotus Ford,1:43.120,1978,PET
308,Netherlands,Niki  Lauda ,Brabham Alfa Romeo,1:19.570,1978,LAU
309,Italy,Mario  Andretti ,Lotus Ford,1:38.230,1978,AND
310,USA East,Jean-Pierre  Jarier ,Lotus Ford,1:39.557,1978,JAR
311,Canada,Alan Jones ,Williams Ford,1:38.072,1978,JON
312,Argentina,Jacques  Laffite ,Ligier Ford,1:46.910,1979,LAF
313,Brazil,Jacques  Laffite ,Ligier Ford,2:28.760,1979,LAF
314,South Africa,Gilles  Villeneuve ,Ferrari,1:14.412,1979,VIL
315,USA West,Gilles  Villeneuve ,Ferrari,1:21.200,1979,VIL
316,Spain,Gilles  Villeneuve ,Ferrari,1:16.440,1979,VIL
317,Belgium,Gilles  Villeneuve ,Ferrari,1:23.090,1979,VIL
318,Monaco,Patrick  Depailler ,Ligier Ford,1:28.820,1979,DEP
319,France,Rene  Arnoux ,Renault,1:09.160,1979,ARN
320,Great Britain,Clay  Regazzoni ,Williams Ford,1:14.400,1979,REG
321,Germany,Gilles  Villeneuve ,Ferrari,1:51.890,1979,VIL
322,Austria,Rene  Arnoux ,Renault,1:35.770,1979,ARN
323,Netherlands,Gilles  Villeneuve ,Ferrari,1:19.438,1979,VIL
324,Italy,Clay  Regazzoni ,Williams Ford,1:35.600,1979,REG
325,Canada,Alan Jones ,Williams Ford,1:31.272,1979,JON
326,USA East,Nelson  Piquet ,Brabham Ford,1:40.054,1979,PIQ
327,Argentina,Alan Jones ,Williams Ford,1:50.450,1980,JON
328,Brazil,Rene  Arnoux ,Renault,2:27.310,1980,ARN
329,South Africa,Rene  Arnoux ,Renault,1:13.150,1980,ARN
330,USA West,Nelson  Piquet ,Brabham Ford,1:19.830,1980,PIQ
331,Belgium,Jacques  Laffite ,Ligier Ford,1:20.880,1980,LAF
332,Monaco,Carlos  Reutemann ,Williams Ford,1:27.418,1980,REU
333,France,Alan Jones ,Williams Ford,1:41.450,1980,JON
334,Great Britain,Didier  Pironi ,Ligier Ford,1:12.368,1980,PIR
335,Germany,Alan Jones ,Williams Ford,1:48.490,1980,JON
336,Austria,Rene  Arnoux ,Renault,1:32.530,1980,ARN
337,Netherlands,Rene  Arnoux ,Renault,1:19.350,1980,ARN
338,Italy,Alan Jones ,Williams Ford,1:36.089,1980,JON
339,Canada,Didier  Pironi ,Ligier Ford,1:28.769,1980,PIR
340,USA East,Alan Jones ,Williams Ford,1:34.068,1980,JON
341,USA West,Alan Jones ,Williams Ford,1:20.901,1981,JON
342,Brazil,Marc  Surer ,Ensign Ford,1:54.302,1981,SUR
343,Argentina,Nelson  Piquet ,Brabham Ford,1:45.287,1981,PIQ
344,San Marino,Gilles  Villeneuve ,Ferrari,1:48.064,1981,VIL
345,Belgium,Carlos  Reutemann ,Williams Ford,1:23.300,1981,REU
346,Monaco,Alan Jones ,Williams Ford,1:27.470,1981,JON
347,Spain,Alan Jones ,Williams Ford,1:17.818,1981,JON
348,France,Alain  Prost ,Renault,1:09.140,1981,PRO
349,Great Britain,Rene  Arnoux ,Renault,1:15.067,1981,ARN
350,Germany,Alan Jones ,Williams Ford,1:52.420,1981,JON
351,Austria,Jacques  Laffite ,Ligier Matra,1:37.620,1981,LAF
352,Netherlands,Alan Jones ,Williams Ford,1:21.830,1981,JON
353,Italy,Carlos  Reutemann ,Williams Ford,1:37.528,1981,REU
354,Canada,John  Watson ,McLaren Ford,1:49.475,1981,WAT
355,Caesar's Palace,Didier  Pironi ,Ferrari,1:20.156,1981,PIR
356,South Africa,Alain  Prost ,Renault,1:08.278,1982,PRO
357,Brazil,Alain  Prost ,Renault,1:37.016,1982,PRO
358,USA West,Niki  Lauda ,McLaren Ford,1:30.831,1982,LAU
359,San Marino,Didier  Pironi ,Ferrari,1:35.036,1982,PIR
360,Belgium,John  Watson ,McLaren Ford,1:20.214,1982,WAT
361,Monaco,Riccardo  Patrese ,Brabham Ford,1:26.354,1982,PAT
362,Detroit,Alain  Prost ,Renault,1:50.438,1982,PRO
363,Canada,Didier  Pironi ,Ferrari,1:28.323,1982,PIR
364,Netherlands,Derek  Warwick ,Toleman Hart,1:19.780,1982,WAR
365,Great Britain,Brian  Henton ,Tyrrell Ford,1:13.028,1982,HEN
366,France,Riccardo  Patrese ,Brabham Ford,1:40.075,1982,PAT
367,Germany,Nelson  Piquet ,Brabham Ford,1:54.035,1982,PIQ
368,Austria,Nelson  Piquet ,Brabham Ford,1:33.699,1982,PIQ
369,Switzerland,Alain  Prost ,Renault,1:07.477,1982,PRO
370,Italy,Rene  Arnoux ,Renault,1:33.619,1982,ARN
