,Grand Prix,Driver,Car,Time,year,Code
1083,Spain,Max  Verstappen ,Red Bull Racing Honda RBPT,1:16.330,2023,VER
1084,Canada,Sergio  Perez ,Red Bull Racing Honda RBPT,1:14.481,2023,PER
1085,Austria,Max  Verstappen ,Red Bull Racing Honda RBPT,1:07.012,2023,VER
1086,Great Britain,Max  Verstappen ,Red Bull Racing Honda RBPT,1:30.275,2023,VER
1087,Hungary,Max  Verstappen ,Red Bull Racing Honda RBPT,1:20.504,2023,VER
1088,Belgium,Lewis  Hamilton ,Mercedes,1:47.305,2023,HAM
1089,Netherlands,Fernando  Alonso ,Aston Martin Aramco Mercedes,1:13.837,2023,ALO
1090,Italy,Oscar  Piastri ,McLaren Mercedes,1:25.072,2023,PIA
1091,Singapore,Lewis  Hamilton ,Mercedes,1:35.867,2023,HAM
1092,Japan,Max  Verstappen ,Red Bull Racing Honda RBPT,1:34.183,2023,VER
1093,Qatar,Max  Verstappen ,Red Bull Racing Honda RBPT,1:24.319,2023,VER
1094,United States,Yuki  Tsunoda ,AlphaTauri Honda RBPT,1:38.139,2023,TSU
1095,Mexico,Lewis  Hamilton ,Mercedes,1:21.334,2023,HAM
1096,Brazil,Lando  Norris ,McLaren Mercedes,1:12.486,2023,NOR
1097,Las Vegas,Oscar  Piastri ,McLaren Mercedes,1:35.490,2023,PIA
1098,Abu Dhabi,Max  Verstappen ,Red Bull Racing Honda RBPT,1:26.993,2023,VER
1099,Bahrain,Max  Verstappen ,Red Bull Racing Honda RBPT,1:32.608,2024,VER
1100,Saudi Arabia,Charles  Leclerc ,Ferrari,1:31.632,2024,LEC
1101,Australia,Charles  Leclerc ,Ferrari,1:19.813,2024,LEC
1102,Japan,Max  Verstappen ,Red Bull Racing Honda RBPT,1:33.706,2024,VER
1103,China,Fernando  Alonso ,Aston Martin Aramco Mercedes,1:37.810,2024,ALO
1104,Miami,Oscar  Piastri ,McLaren Mercedes,1:30.634,2024,PIA
1105,Emilia Romagna,George  Russell ,Mercedes,1:18.589,2024,RUS
1106,Monaco,Lewis  Hamilton ,Mercedes,1:14.165,2024,HAM
